id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id,dev_id,application_id
1,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:47:15.563,866100000,7,15,36,4/5,125000,123456,Oyxj,14855,
2,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:47:21.083,866100000,7,15,36,4/5,125000,123456,sNKE,14856,
3,"",[],35410,t,f,t,2024-03-17 09:49:04.673,866900000,12,15,803,4/5,125000,123456,0rBU,14857,
4,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:49:15.211,866100000,7,15,36,4/5,125000,123456,Oyxj,14858,
5,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:49:20.745,866100000,7,15,36,4/5,125000,123456,sNKE,14859,
6,"","[{""sf"":11,""power"":12,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:51:15.315,866100000,7,15,36,4/5,125000,123456,Oyxj,14860,
7,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:51:26.361,866100000,7,15,36,4/5,125000,123456,sNKE,14861,
8,"","[{""sf"":11,""power"":11,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:53:15.446,866100000,7,15,36,4/5,125000,123456,Oyxj,14862,
9,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:53:20.973,866100000,7,15,36,4/5,125000,123456,Chxx,14863,
10,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:53:26.49,866100000,7,15,36,4/5,125000,123456,sNKE,14864,
11,"",[],35410,t,f,t,2024-03-17 09:55:05.064,866900000,12,15,803,4/5,125000,123456,0rBU,14865,
12,"",[],35410,t,f,t,2024-03-17 09:55:10.092,866900000,12,14,803,4/5,125000,123456,iMT8,14866,
13,"","[{""sf"":11,""power"":10,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:55:15.613,866100000,7,15,36,4/5,125000,123456,Oyxj,14867,
14,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:55:21.129,866100000,7,15,36,4/5,125000,123456,Chxx,14868,
15,"","[{""sf"":12,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:57:10.701,866100000,7,14,36,4/5,125000,123456,iMT8,14869,
16,"","[{""sf"":11,""power"":9,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:57:16.218,866100000,7,15,36,4/5,125000,123456,Oyxj,14870,
17,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:57:21.742,866100000,7,15,36,4/5,125000,123456,Chxx,14871,
18,"","[{""sf"":11,""power"":8,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:59:15.836,866100000,7,15,36,4/5,125000,123456,Oyxj,14872,
19,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 09:59:21.367,866100000,7,15,36,4/5,125000,123456,Chxx,14873,
20,"",[],35410,t,f,t,2024-03-17 10:01:05.464,866900000,12,15,803,4/5,125000,123456,0rBU,14874,
21,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:01:10.996,866100000,7,14,36,4/5,125000,123456,iMT8,14875,
22,"","[{""sf"":11,""power"":7,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:01:16.512,866100000,7,15,36,4/5,125000,123456,Oyxj,14876,
23,"","[{""sf"":12,""power"":13,""type"":""NORMAL""}]",35082,t,f,t,2024-03-17 10:03:05.617,866900000,12,14,803,4/5,125000,123456,iMT8,14877,
24,"","[{""sf"":11,""power"":6,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:03:11.145,866100000,7,15,36,4/5,125000,123456,Oyxj,14878,
25,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:03:16.675,866100000,7,15,36,4/5,125000,123456,Chxx,14879,
26,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:03:22.19,866100000,7,15,36,4/5,125000,123456,sNKE,14880,
27,"","[{""sf"":12,""power"":12,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:05:06.249,866100000,7,14,36,4/5,125000,123456,iMT8,14881,
28,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:05:16.788,866100000,7,15,36,4/5,125000,123456,Chxx,14882,
29,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:05:22.308,866100000,7,15,36,4/5,125000,123456,sNKE,14883,
30,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:07:16.349,866100000,7,15,36,4/5,125000,123456,Chxx,14884,
31,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:07:21.883,866100000,7,15,36,4/5,125000,123456,sNKE,14885,
32,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:09:16.517,866100000,7,15,36,4/5,125000,123456,Chxx,14886,
33,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35946,t,f,t,2024-03-17 10:09:22.032,866100000,7,15,36,4/5,125000,123456,sNKE,14887,
34,"","[{""sf"":12,""power"":13,""type"":""NORMAL""}]",35082,t,f,t,2024-03-17 10:11:06.133,866900000,12,14,803,4/5,125000,123456,iMT8,14888,
